ref,cote,titre,contenu,analyse_diplomatique,date
322,0038/CS,SOUCHES DES BORDEREAUX DE LIVRAISON FEVRIER II 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"FEVRIER , 2001"
323,0039/CS,SOUCHES DES BORDEREAUX DE LIVRAISON FEVRIER III 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"FEVRIER, 2001"
324,0040/CS,SOUCHES DES BORDEREAUX DE LIVRAISON MARS I 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"MARS, 2001"
325,0041/CS,SOUCHES DES BORDEREAUX DE LIVRAISON MARS II 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"MARS, 2001"
326,0042/CS,SOUCHES DES BORDEREAUX DE LIVRAISON AVRIL I 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"AVRIL, 2001"
327,0043/CS,SOUCHES DES BORDEREAUX DE LIVRAISON AVRIL II 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"AVRIL, 2001"
328,0044/CS,SOUCHES DES BORDEREAUX DE LIVRAISON AVRIL III 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"AVRIL, 2001"
329,0045/CS,SOUCHES DES BORDEREAUX DE LIVRAISON MAI I 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"MAI, 2001"
330,0046/CS,SOUCHES DES BORDEREAUX DE LIVRAISON MAI II 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"MAI, 2001"
331,0047/CS,SOUCHES DES BORDEREAUX DE LIVRAISON MAI III 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"MAI, 2001"
332,0048/CS,SOUCHES DES BORDEREAUX DE LIVRAISON JUIN I 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"JUIN, 2001"
333,0049/CS,SOUCHES DES BORDEREAUX DE LIVRAISON JUIN II 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"JUIN, 2001"
334,0050/CS,SOUCHES DES BORDEREAUX DE LIVRAISON JUILLET I 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"JUILLET, 2001"
335,0051/CS,SOUCHES DES BORDEREAUX DE LIVRAISON JUILLET II 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"JUILLET, 2001"
336,0052/CS,SOUCHES DES BORDEREAUX DE LIVRAISON AOUT I 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"AOUT, 2001"
337,0053/CS,SOUCHES DES BORDEREAUX DE LIVRAISON AOUT II 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"AOUT, 2001"
338,0054/CS,SOUCHES DES BORDEREAUX DE LIVRAISON SEPTEMBRE I 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"SEPTEMBRE, 2001"
339,0055/CS,SOUCHES DES BORDEREAUX DE LIVRAISON SEPTEMBRE II 2001,,,
2001,,,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"SEPTEMBRE, 2001"
340,0056/CS,SOUCHES DES BORDEREAUX DE LIVRAISON OCTOBRE I 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"OCTOBRE, 2001"
341,0057/CS,SOUCHES DES BORDEREAUX DE LIVRAISON OCTOBRE II 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"OCTOBRE, 2001"
342,0058/CS,SOUCHES DES BORDEREAUX DE LIVRAISON NOVEMBRE I 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"NOVEMBRE , 2001"
343,0059/CS,SOUCHES DES BORDEREAUX DE LIVRAISON NOVEMBRE II 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"NOVEMBRE, 2001"
344,0060/CS,SOUCHES DES BORDEREAUX DE LIVRAISON DECEMBRE I 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"DECEMBRE , 2001"
345,0061/CS,SOUCHES DES BORDEREAUX DE LIVRAISON DECEMBRE II 2001,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"DECEMBRE, 2001"
346,0062/CS,SOUCHES DES BORDEREAUX DE LIVRAISON JANVIER I 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"JANVIER, 2002"
347,0063/CS,SOUCHES DES BORDEREAUX DE LIVRAISON JANVIER II 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"JANVIER, 2002"
348,0064/CS,SOUCHES DES BORDEREAUX DE LIVRAISON FEVRIER I 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"FEVRIER, 2002"
349,0065/CS,SOUCHES DES BORDEREAUX DE LIVRAISON MARS I 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"MARS, 2002"
350,0066/CS,SOUCHES DES BORDEREAUX DE LIVRAISON MARS II 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"MARS, 2002"
351,0067/CS,SOUCHES DES BORDEREAUX DE LIVRAISON MARS III 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"MARS, 2002"
352,0068/CS,SOUCHES DES BORDEREAUX DE LIVRAISON MARS IV 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"MARS, 2002"
353,0069/CS,SOUCHES DES BORDEREAUX DE LIVRAISON AVRIL I 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"AVRIL, 2002"
354,0070/CS,SOUCHES DES BORDEREAUX DE LIVRAISON AVRIL II 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"AVRIL, 2002"
355,0071/CS,SOUCHES DES BORDEREAUX DE LIVRAISON AVRIL III 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"AVRIL, 2002"
356,0072/CS,SOUCHES DES BORDEREAUX DE LIVRAISON MAI I 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"MAI, 2002"
357,0073/CS,SOUCHES DES BORDEREAUX DE LIVRAISON MAI II 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"MAI II, 2002"
358,0074/CS,SOUCHES DES BORDEREAUX DE LIVRAISON MAI III 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"MAI, 2002"
359,0075/CS,SOUCHES DES BORDEREAUX DE LIVRAISON JUIN I 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"JUIN, 2002"
360,0076/CS,SOUCHES DES BORDEREAUX DE LIVRAISON JUIN II 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"JUIN, 2002"
361,0077/CS,SOUCHES DES BORDEREAUX DE LIVRAISON JUIN III 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"JUIN, 2002"
362,0078/CS,SOUCHES DES BORDEREAUX DE LIVRAISON JUILLET I 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"JUILLET, 2002"
363,0079/CS,SOUCHES DES BORDEREAUX DE LIVRAISON JUILLET II 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"JUILLET, 2002"
364,0080/CS,SOUCHES DES BORDEREAUX DE LIVRAISON JUILLET III 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"JUILLET, 2002"
365,0081/CS,SOUCHES DES BORDEREAUX DE LIVRAISON JUILLET IV 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"JUILLET, 2002"
366,0082/CS,SOUCHES DES BORDEREAUX DE LIVRAISON AOUT I 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"AOUT, 2002"
367,0083/CS,SOUCHES DES BORDEREAUX DE LIVRAISON AOUT II 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"AOUT, 2002"
368,0084/CS,SOUCHES DES BORDEREAUX DE LIVRAISON AOUT III 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"AOUT, 2002"
369,0085/CS,SOUCHES DES BORDEREAUX DE LIVRAISON AOUT IV 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"AOUT, 2002"
370,0086/CS,SOUCHES DES BORDEREAUX DE LIVRAISON SEPTEMBRE I 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"SEPTEMBRE, 2002"
371,0087/CS,SOUCHES DES BORDEREAUX DE LIVRAISON SEPTEMBRE II 2002,,,
2002,,,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"SEPTEMBRE, 2002"
372,0088/CS,SOUCHES DES BORDEREAUX DE LIVRAISON SEPTEMBRE III 2002,,,
2002,,,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"SEPTEMBRE, 2002"
373,0089/CS,SOUCHES DES BORDEREAUX DE LIVRAISON OCTOBRE I 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"OCTOBRE, 2002"
374,0090/CS,SOUCHES DES BORDEREAUX DE LIVRAISON OCTOBRE II 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"OCTOBRE, 2002"
375,0091/CS,SOUCHES DES BORDEREAUX DE LIVRAISON OCTOBRE III 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"OCTOBRE, 2002"
376,0092/CS,SOUCHES DES BORDEREAUX DE LIVRAISON NOVEMBRE I 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"NOVEMBRE, 2002"
377,0093/CS,SOUCHES DES BORDEREAUX DE LIVRAISON NOVEMBRE II 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"NOVEMBRE, 2002"
378,0094/CS,SOUCHES DES BORDEREAUX DE LIVRAISON NOVEMBRE III 2002,,,
2002,,,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"NOVEMBRE, 2002"
379,0095/CS,SOUCHES DES BORDEREAUX DE LIVRAISON DECEMBRE I 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"DECEMBRE, 2002"
380,0096/CS,SOUCHES DES BORDEREAUX DE LIVRAISON DECEMBRE II 2002,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"DECEMBRE, 2002"
381,0097/CS,SOUCHES DES BORDEREAUX DE LIVRAISON DECEMBRE III 2002,,,
2002,,,"LIVRAISON, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(SOUCHE),"DECEMBRE, 2002"
382,0098/CS,ETATS DECADAIRES ET MENSUELS JANVIER A JUIN 2002,"ENTREE, SORTIE, DECADE, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(ETAT DECADAIRE),"JANVIER-JUIN, 2002"
383,0099/CS,ETATS DECADAIRES ET MENSUELS JUILLET A DECEMBRE 2002,"ENTREE, SORTIE, DECADE, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(ETAT DECADAIRE),"JUILLET-DECEMBRE, 2002"
384,0100/CS,ENTREE BINGO JANVIER DECADE I II III  2003,"ENTREE, DECADE, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO",(BULLETIN),"JANVIER, 2003"
385,0101/CS,ENTREE BINGO FEVRIER DECADE I II III 2003,"ENTREE, DECADE, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO","(BULLETIN, BON)","FEVRIER, 2003"
386,0102/CS,ENTREE BINGO MARS DECADE I II 2003,"ENTREE, DECADE, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO","(BULLETIN, BON)","MARS, 2003"
387,0103/CS,ENTREE BINGO MARS DECADE III 2003,"ENTREE, DECADE, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO","(BULLETIN, BON)","MARS, 2003"
388,0104/CS,ENTREE BINGO AVRIL DECADE I 2003,"ENTREE, DECADE, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO","(BULLETIN, BON)","AVRIL, 2003"
389,0105/CS,ENTREE BINGO AVRIL DECADE II 2003,"ENTREE, DECADE, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO","(BULLETIN, BON)","AVRIL, 2003"
390,0106/CS,ENTREE BINGO AVRIL DECADE III 2003,"ENTREE, DECADE, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO","(BULLETIN, BON)","AVRIL, 2003"
391,0107/CS,ENTREE BINGO MAI DECADE I  II 2003,"ENTREE, DECADE, PRODUIT PETROLIER, COMPTABILITE, STOCK, DEPOT BINGO","(BULLETIN, BON)","MAI, 2003"
392,0108/CS,ENTREE BINGO MAI DECADE III 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","MAI, 2003"
393,0109/CS,ENTREE BINGO JUIN DECADE I 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","JUIN, 2003"
394,0110/CS,ENTREE BINGO JUIN DECADE II 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","JUIN, 2003"
395,0111/CS,ENTREE BINGO JUIN DECADE III 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","JUIN, 2003"
396,0112/CS,ENTREE BINGO JUILLET DECADE I 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","JUILLET, 2003"
397,0113/CS,ENTREE BINGO JUILLET DECADE II 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","JUILLET, 2003"
398,0114/CS,ENTREE BINGO JUILLET DECADE III 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","JUILLET, 2003"
399,0115/CS,ENTREE BINGO AOUT DECADE I 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","AOUT, 2003"
400,0116/CS,ENTREE BINGO AOUT DECADE II 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","AOUT, 2003"
401,0117/CS,ENTREE BINGO AOUT DECADE III 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","AOUT, 2003"
402,0118/CS,ENTREE BINGO SEPTEMBRE DECADE I 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","SEPTEMBRE, 2003"
403,0119/CS,ENTREE BINGO SEPTEMBRE DECADE II 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","SEPTEMBRE, 2003"
404,0120/CS,ENTREE BINGO SEPTEMBRE DECADE III 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","SEPTEMBRE, 2003"
405,0121/CS,ENTREE BINGO OCTOBRE DECADE I 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","OCTOBRE, 2003"
406,0122/CS,ENTREE BINGO OCTOBRE DECADE II 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","OCTOBRE, 2003"
407,0123/CS,ENTREE BINGO OCTOBRE DECADE III 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","OCTOBRE, 2003"
408,0124/CS,ENTREE BINGO NOVEMBRE DECADE I 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","NOVEMBRE, 2003"
409,0125/CS,ENTREE BINGO NOVEMBRE DECADE II 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","NOVEMBRE, 2003"
410,0126/CS,ENTREE BINGO NOVEMBRE DECADE III 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","NOVEMBRE, 2003"
411,0127/CS,ENTREE BINGO DECEMBRE DECADE II 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","DECEMBRE, 2003"
412,0128/CS,ENTREE BINGO DECEMBRE DECADE III 2003,"ENTREE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(BULLETIN, BON)","DECEMBRE, 2003"
413,0129/CS,SORTIE BINGO JANVIER DECADE I  II 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","JANVIER, 2003"
414,0130/CS,SORTIE BINGO JANVIER III 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","JANVIER, 2003"
415,0131/CS,SORTIE BINGO FEVRIER DECADE I 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","FEVRIER, 2003"
416,0132/CS,SORTIE BINGO FEVRIER DECADE II 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","FEVRIER, 2003"
417,0133/CS,SORTIE BINGO FEVRIER DECADE III 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","FEVRIER, 2003"
418,0134/CS,SORTIE BINGO MARS DECADE I 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","MARS, 2003"
419,0135/CS,SORTIE BINGO MARS DECADE II 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","MARS, 2003"
420,0136/CS,SORTIE BINGO MARS DECADE III 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","MARS, 2003"
421,0137/CS,SORTIE BINGO AVRIL DECADE I 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","AVRIL, 2003"
422,0138/CS,SORTIE BINGO AVRIL DECADE II 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","AVRIL, 2003"
423,0139/CS,SORTIE BINGO AVRIL DECADE III 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","AVRIL, 2003"
424,0140/CS,SORTIE BINGO MAI DECADE I 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","MAI, 2003"
425,0141/CS,SORTIE BINGO MAI DECADE II 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","MAI, 2003"
426,0142/CS,SORTIE BINGO MAI DECADE III 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","MAI, 2003"
427,0143/CS,SORTIE BINGO JUIN DECADE I 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","JUIN, 2003"
428,0144/CS,SORTIE BINGO JUIN DECADE II 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","JUIN, 2003"
429,0145/CS,SORTIE BINGO JUIN DECADE III 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","JUIN, 2003"
430,0146/CS,SORTIE BINGO JUILLET DECADE I 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","JUILLET, 2003"
431,0147/CS,SORTIE BINGO JUILLET DECADE II 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","JUILLET, 2003"
432,0148/CS,SORTIE BINGO JUILLET DECADE III 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","JUILLET, 2003"
433,0149/CS,SORTIE BINGO AOUT DECADE I 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","AOUT, 2003"
434,0150/CS,SORTIE BINGO AOUT DECADE II 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","AOUT, 2003"
435,0151/CS,SORTIE BINGO AOUT DECADE III 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","AOUT, 2003"
436,0152/CS,SORTIE BINGO SEPTEMBRE DECADE I 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","SEPTEMBRE, 2003"
437,0153/CS,SORTIE BINGO SEPTEMBRE DECADE II 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","SEPTEMBRE, 2003"
438,0154/CS,SORTIE BINGO SEPTEMBRE DECADE III 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","SEPTEMBRE, 2003"
439,0155/CS,SORTIE BINGO OCTOBRE DECADE I 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","OCTOBRE, 2003"
440,0156/CS,SORTIE BINGO OCTOBRE DECADE II 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","OCTOBRE, 2003"
441,0157/CS,SORTIE BINGO OCTOBRE DECADE III 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","OCTOBRE, 2003"
442,0158/CS,SORTIE BINGO NOVEMBRE DECADE I 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","NOVEMBRE, 2003"
443,0159/CS,SORTIE BINGO NOVEMBRE DECADE II 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","NOVEMBRE, 2003"
444,0160/CS,SORTIE BINGO NOVEMBRE DECADE III 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","NOVEMBRE, 2003"
445,0161/CS,SORTIE BINGO DECEMBRE DECADE I 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","DECEMBRE, 2003"
446,0162/CS,SORTIE BINGO DECEMBRE DECADE II 2003,"SORTIE, PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK","(FICHE, ETAT, BON)","DECEMBRE, 2003"
447,0163/CS,ETAS DECADAIRES ET MENSUELS JANVIER A MARS 2003,"PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK",(ETAT),"JANVIER-MARS, 2003"
448,0164/CS,ETATS DECADAIRES ET MENSUELS AVRIL A JUIN 2003,"PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK",(ETAT DECADAIRE),"AVRIL-JUIN, 2003"
449,0165/CS,ETATS DECADAIRES ET MENSUELS JUILLET A SEPTEMBRE 2003,,,
2003,,,"PRODUIT PETROLIER, DECADE, DEPOT BINGO, COMPTABILITE, STOCK",(ETAT DECADAIRE),"JUILLET-SEPTEMBRE, 2003"
